"submission_date","new_case"
2021-03-31,71463
2021-04-01,74447
2021-04-02,69530
2021-04-03,65489
2021-04-04,44296
2021-04-05,56914
2021-04-06,63267
2021-04-07,77911
2021-04-08,75695
2021-04-09,78869
2021-04-10,68055
2021-04-11,53492
2021-04-12,62637
2021-04-13,72167
2021-04-14,72358
2021-04-15,74987
2021-04-16,70889
2021-04-17,78012
2021-04-18,49212
2021-04-19,35961
2021-04-20,58896
2021-04-21,64178
2021-04-22,61692
2021-04-23,64615
2021-04-24,51924
2021-04-25,40717
2021-04-26,39872
2021-04-27,50935
2021-04-28,55293
2021-04-29,56720
2021-04-30,55307
2021-05-01,47985
2021-05-02,36692
2021-05-03,33231
2021-05-04,43136
2021-05-05,45279
2021-05-06,43407
2021-05-07,44609
2021-05-08,36853
2021-05-09,27198
2021-05-10,24739
2021-05-11,33596
2021-05-12,35905
2021-05-13,41009
2021-05-14,35434
2021-05-15,29749
2021-05-16,20961
2021-05-17,19500
2021-05-18,28050
2021-05-19,27886
2021-05-20,27958
2021-05-21,28258
2021-05-22,22217
2021-05-23,15720
2021-05-24,16108
2021-05-25,23795
2021-05-26,23721
2021-05-27,22556
2021-05-28,24387
2021-05-29,16157
2021-05-30,12001
2021-05-31,8985
2021-06-01,8919
2021-06-02,16243
2021-06-03,18658
2021-06-04,18601
2021-06-05,14789
2021-06-06,10980
2021-06-07,9961
2021-06-08,14581
2021-06-09,19099
2021-06-10,16062
2021-06-11,14014
2021-06-12,12469
2021-06-13,8590
2021-06-14,8282
2021-06-15,12843
2021-06-16,13213
2021-06-17,13277
2021-06-18,12027
2021-06-19,12400
2021-06-20,8932
2021-06-21,8653
2021-06-22,13477
2021-06-23,13862
2021-06-24,15536
2021-06-25,15092
2021-06-26,13180
2021-06-27,10501
2021-06-28,10669
2021-06-29,15740
2021-06-30,11610
2021-07-01,18704
2021-07-02,16837
2021-07-03,13041
2021-07-04,10373
2021-07-05,9217
2021-07-06,20198
2021-07-07,22808
2021-07-08,28130
2021-07-09,27622
2021-07-10,20529
2021-07-11,16773
2021-07-12,29346
2021-07-13,34886
2021-07-14,38469
2021-07-15,40558
2021-07-16,42356
2021-07-17,31507
2021-07-18,28389
2021-07-19,45484
2021-07-20,51001
2021-07-21,61604
2021-07-22,72843
2021-07-23,68481
2021-07-24,53315
2021-07-25,43276
2021-07-26,71556
2021-07-27,86079
2021-07-28,89515
2021-07-29,99306
2021-07-30,105002
2021-07-31,81505
2021-08-01,63024
2021-08-02,103632
2021-08-03,110589
2021-08-04,124086
2021-08-05,129141
2021-08-06,125958
2021-08-07,119982
2021-08-08,97140
2021-08-09,93966
2021-08-10,136593
2021-08-11,144609
2021-08-12,151611
2021-08-13,146598
2021-08-14,139155
2021-08-15,110657
2021-08-16,110340
2021-08-17,150835
2021-08-18,168267
2021-08-19,175048
2021-08-20,166983
2021-08-21,142907
2021-08-22,127065
2021-08-23,117477
2021-08-24,163794
2021-08-25,177895
2021-08-26,187154
2021-08-27,182858
2021-08-28,151245
2021-08-29,118278
2021-08-30,134662
2021-08-31,176982
2021-09-01,198869
2021-09-02,182275
2021-09-03,182907
2021-09-04,142194
2021-09-05,124666
2021-09-06,110306
2021-09-07,118422
2021-09-08,169998
2021-09-09,186769
2021-09-10,169369
2021-09-11,153159
2021-09-12,116283
2021-09-13,113769
2021-09-14,162147
2021-09-15,163080
2021-09-16,167305
2021-09-17,157554
2021-09-18,123058
2021-09-19,97060
2021-09-20,93698
2021-09-21,135005
2021-09-22,132373
2021-09-23,135546
2021-09-24,133057
2021-09-25,95609
2021-09-26,77067
2021-09-27,103404
2021-09-28,117034
2021-09-29,116354
2021-09-30,122501
2021-10-01,120088
2021-10-02,81324
2021-10-03,68388
2021-10-04,87545
2021-10-05,104853
2021-10-06,107762
2021-10-07,111993
2021-10-08,107752
2021-10-09,70015
2021-10-10,59479
2021-10-11,75191
2021-10-12,91081
2021-10-13,96985
2021-10-14,96612
2021-10-15,90942
2021-10-16,62160
2021-10-17,49272
2021-10-18,70586
2021-10-19,81012
2021-10-20,76385
2021-10-21,87280
2021-10-22,80598
2021-10-23,29621
2021-10-24,23600
2021-10-25,94602
2021-10-26,102420
2021-10-27,83889
2021-10-28,81959
2021-10-29,87053
2021-10-30,28712
2021-10-31,20545
2021-11-01,120256
2021-11-02,73070
2021-11-03,79925
2021-11-04,88063
2021-11-05,89530
2021-11-06,28481
2021-11-07,25964
2021-11-08,128208
2021-11-09,83032
2021-11-10,90422
2021-11-11,71593
2021-11-12,123127
2021-11-13,47447
2021-11-14,28611
2021-11-15,143773
2021-11-16,96733
2021-11-17,106162
2021-11-18,113396
2021-11-19,113556
2021-11-20,38867
2021-11-21,33992
2021-11-22,154104
2021-11-23,101707
2021-11-24,105321
2021-11-25,68359
2021-11-26,82975
2021-11-27,48547
2021-11-28,52217
2021-11-29,102771
2021-11-30,120244
2021-12-01,129738
2021-12-02,138489
