"Date","Open","High","Low","Close","Adj.Close","Volume"
"2019-03-18",16149.099609,16251.400391,16148.299805,16251.400391,16251.400391,23136910000
"2019-03-19",16275.299805,16275.299805,16188.099609,16188.099609,16188.099609,25095850000
"2019-03-20",16168.200195,16214.700195,16118,16167.599609,16167.599609,26172300000
"2019-03-21",16148.799805,16266.5,16146.400391,16244.599609,16244.599609,25494550000
"2019-03-22",16172.900391,16185.400391,16043.900391,16089.299805,16089.299805,32552090000
"2019-03-25",16066.299805,16113.200195,16021,16065.900391,16065.900391,23439810000
"2019-03-26",16138.900391,16192.200195,16116.700195,16155.200195,16155.200195,24253040000
"2019-03-27",16147.400391,16187.400391,16079.099609,16132.5,16132.5,24463190000
"2019-03-28",16094.099609,16173.200195,16094.099609,16155.5,16155.5,22324890000
"2019-03-29",16200.299805,16212.700195,16081.099609,16102.099609,16102.099609,22795580000
"2019-04-01",16187.900391,16228.099609,16153.599609,16228.099609,16228.099609,23322570000
"2019-04-02",16240.400391,16263.900391,16194.900391,16263.900391,16263.900391,17827790000
"2019-04-03",16296,16338,16244.5,16279.900391,16279.900391,22415460000
"2019-04-04",16290,16311.599609,16249.900391,16311.599609,16311.599609,18991770000
"2019-04-05",16337.900391,16396.199219,16330.200195,16396.199219,16396.199219,17061800000
"2019-04-08",16373.099609,16407.300781,16326.700195,16407.300781,16407.300781,20757390000
"2019-04-09",16340.599609,16345.900391,16294.299805,16336.5,16336.5,17513690000
"2019-04-10",16369,16409.800781,16368,16396.300781,16396.300781,21354750000
"2019-04-11",16412.800781,16471.800781,16399.5,16399.5,16399.5,23007660000
"2019-04-12",16473.900391,16487.099609,16437.300781,16480.5,16480.5,19585140000
"2019-04-15",16459.900391,16532.699219,16443.300781,16515.5,16515.5,19488400000
"2019-04-16",16537.699219,16553.400391,16498.599609,16502.199219,16502.199219,20247690000
"2019-04-17",16535.900391,16553.400391,16495.699219,16544.199219,16544.199219,33337730000
"2019-04-18",16558.5,16615.099609,16557.5,16612.800781,16612.800781,19572970000
"2019-04-22",16607.199219,16616.300781,16552.800781,16577.300781,16577.300781,16994270000
"2019-04-23",16591.599609,16672.699219,16581.099609,16669.400391,16669.400391,22170850000
"2019-04-24",16642.099609,16666,16572.099609,16586.5,16586.5,21295920000
"2019-04-25",16567.199219,16593.199219,16527.900391,16576.099609,16576.099609,27877500000
"2019-04-26",16554.300781,16615.199219,16515.5,16613.5,16613.5,28265940000
"2019-04-29",16612.099609,16642.099609,16589.800781,16600.400391,16600.400391,18094480000
"2019-04-30",16582.699219,16618.800781,16544.599609,16580.699219,16580.699219,20732420000
