"csv.CVD.DE$time_iso8601","DE.daily.cases"
"2020-06-25",570
"2020-06-26",574
"2020-06-27",331
"2020-06-28",199
"2020-06-29",420
"2020-06-30",461
"2020-07-01",484
"2020-07-02",470
"2020-07-03",426
"2020-07-04",292
"2020-07-05",143
"2020-07-06",320
"2020-07-07",391
"2020-07-08",452
"2020-07-09",429
"2020-07-10",426
"2020-07-11",278
"2020-07-12",131
"2020-07-13",327
"2020-07-14",465
"2020-07-15",537
"2020-07-16",557
"2020-07-17",523
"2020-07-18",428
"2020-07-19",187
"2020-07-20",458
"2020-07-21",521
"2020-07-22",699
"2020-07-23",700
"2020-07-24",808
"2020-07-25",543
"2020-07-26",211
"2020-07-27",529
"2020-07-28",753
"2020-07-29",905
"2020-07-30",854
"2020-07-31",920
"2020-08-01",560
"2020-08-02",301
"2020-08-03",800
"2020-08-04",946
"2020-08-05",1115
"2020-08-06",1168
"2020-08-07",1005
"2020-08-08",709
"2020-08-09",319
"2020-08-10",1105
"2020-08-11",1193
"2020-08-12",1544
"2020-08-13",1489
"2020-08-14",1380
"2020-08-15",754
"2020-08-16",492
"2020-08-17",1553
"2020-08-18",1537
"2020-08-19",1754
"2020-08-20",1623
"2020-08-21",1657
"2020-08-22",915
"2020-08-23",565
"2020-08-24",1430
"2020-08-25",1479
"2020-08-26",1610
"2020-08-27",1546
"2020-08-28",1388
"2020-08-29",832
"2020-08-30",537
"2020-08-31",1187
"2020-09-01",1321
"2020-09-02",1416
"2020-09-03",1522
"2020-09-04",1493
"2020-09-05",1106
"2020-09-06",580
"2020-09-07",1416
"2020-09-08",1380
"2020-09-09",1757
"2020-09-10",1589
"2020-09-11",1655
"2020-09-12",1224
"2020-09-13",758
"2020-09-14",1483
"2020-09-15",2003
"2020-09-16",2197
"2020-09-17",2354
"2020-09-18",2176
"2020-09-19",1394
"2020-09-20",691
"2020-09-21",1658
"2020-09-22",1818
"2020-09-23",2206
"2020-09-24",2398
"2020-09-25",2329
"2020-09-26",1789
"2020-09-27",878
"2020-09-28",1827
"2020-09-29",2169
"2020-09-30",2736
"2020-10-01",2920
"2020-10-02",2920
"2020-10-03",2209
"2020-10-04",1153
"2020-10-05",2408
"2020-10-06",3591
"2020-10-07",4491
"2020-10-08",4686
"2020-10-09",5062
"2020-10-10",3635
"2020-10-11",2264
"2020-10-12",4187
"2020-10-13",5376
"2020-10-14",7255
"2020-10-15",7925
"2020-10-16",7975
"2020-10-17",5694
"2020-10-18",3682
"2020-10-19",6479
"2020-10-20",9449
"2020-10-21",12403
"2020-10-22",13897
"2020-10-23",14043
"2020-10-24",11101
"2020-10-25",7479
"2020-10-26",12029
"2020-10-27",15986
"2020-10-28",19264
"2020-10-29",19872
"2020-10-30",19442
"2020-10-31",14027
"2020-11-01",10538
"2020-11-02",15259
"2020-11-03",19358
"2020-11-04",21212
"2020-11-05",22286
"2020-11-06",21607
"2020-11-07",15927
"2020-11-08",10176
"2020-11-09",15985
"2020-11-10",19632
"2020-11-11",22702
"2020-11-12",23507
"2020-11-13",21393
"2020-11-14",15804
"2020-11-15",8871
"2020-11-16",14716
"2020-11-17",20352
"2020-11-18",23690
"2020-11-19",23751
"2020-11-20",22309
"2020-11-21",14794
"2020-11-22",8867
"2020-11-23",15102
"2020-11-24",19433
"2020-11-25",22085
"2020-11-26",22793
"2020-11-27",20149
"2020-11-28",14939
"2020-11-29",8813
"2020-11-30",13341
"2020-12-01",19223
"2020-12-02",23222
"2020-12-03",24451
"2020-12-04",22302
"2020-12-05",15716
"2020-12-06",10248
"2020-12-07",16491
"2020-12-08",22837
"2020-12-09",27657
"2020-12-10",29093
"2020-12-11",27278
"2020-12-12",20640
"2020-12-13",12496
"2020-12-14",19073
"2020-12-15",26921
"2020-12-16",31368
"2020-12-17",32059
"2020-12-18",29772
"2020-12-19",21762
"2020-12-20",13955
"2020-12-21",20388
"2020-12-22",29002
"2020-12-23",34024
"2020-12-24",21195
"2020-12-25",13223
"2020-12-26",11595
"2020-12-27",9840
"2020-12-28",15742
"2020-12-29",27567
"2020-12-30",31119
"2020-12-31",19664
"2021-01-01",10262
"2021-01-02",10019
"2021-01-03",8842
"2021-01-04",14219
"2021-01-05",27410
"2021-01-06",28011
"2021-01-07",26174
"2021-01-08",24559
"2021-01-09",16664
"2021-01-10",8495
"2021-01-11",13519
"2021-01-12",22589
"2021-01-13",24104
"2021-01-14",20457
"2021-01-15",18326
"2021-01-16",13391
"2021-01-17",6614
"2021-01-18",9160
"2021-01-19",18465
"2021-01-20",19498
"2021-01-21",16815
"2021-01-22",15039
"2021-01-23",11587
"2021-01-24",5023
"2021-01-25",6769
"2021-01-26",15493
"2021-01-27",15841
"2021-01-28",13388
"2021-01-29",12575
"2021-01-30",10007
"2021-01-31",4211
"2021-02-01",5882
"2021-02-02",12334
"2021-02-03",13423
"2021-02-04",11515
"2021-02-05",10020
"2021-02-06",8390
"2021-02-07",3090
"2021-02-08",4208
"2021-02-09",9096
"2021-02-10",10275
"2021-02-11",9365
"2021-02-12",8543
"2021-02-13",5624
"2021-02-14",3753
"2021-02-15",4401
"2021-02-16",9259
"2021-02-17",10007
"2021-02-18",9259
"2021-02-19",8737
"2021-02-20",7791
"2021-02-21",3047
"2021-02-22",4390
"2021-02-23",10207
"2021-02-24",11323
"2021-02-25",9953
"2021-02-26",9458
"2021-02-27",7679
"2021-02-28",3467
"2021-03-01",4689
"2021-03-02",10960
"2021-03-03",11318
"2021-03-04",10112
"2021-03-05",9669
"2021-03-06",8316
"2021-03-07",3370
"2021-03-08",4810
"2021-03-09",11499
"2021-03-10",13999
"2021-03-11",13084
"2021-03-12",12465
"2021-03-13",10478
"2021-03-14",4855
"2021-03-15",6824
"2021-03-16",15827
"2021-03-17",18423
"2021-03-18",16783
"2021-03-19",15731
"2021-03-20",13261
"2021-03-21",5985
"2021-03-22",8939
"2021-03-23",19547
"2021-03-24",22726
"2021-03-25",21981
"2021-03-26",20083
"2021-03-27",15776
"2021-03-28",7624
"2021-03-29",11050
"2021-03-30",20427
"2021-03-31",24094
"2021-04-01",21481
"2021-04-02",15544
"2021-04-03",10681
"2021-04-04",7207
"2021-04-05",7086
"2021-04-06",11513
"2021-04-07",23706
"2021-04-08",25751
"2021-04-09",23324
"2021-04-10",18073
"2021-04-11",8862
"2021-04-12",12031
"2021-04-13",26601
"2021-04-14",28757
"2021-04-15",25156
"2021-04-16",23118
"2021-04-17",17707
"2021-04-18",8844
"2021-04-19",12352
"2021-04-20",28002
"2021-04-21",29510
"2021-04-22",25534
"2021-04-23",23049
"2021-04-24",18011
"2021-04-25",8731
"2021-04-26",12184
"2021-04-27",25269
"2021-04-28",24972
"2021-04-29",21347
"2021-04-30",19144
"2021-05-01",15136
"2021-05-02",6696
"2021-05-03",9156
"2021-05-04",21021
"2021-05-05",20921
"2021-05-06",17194
"2021-05-07",15494
"2021-05-08",12044
"2021-05-09",5332
"2021-05-10",7358
"2021-05-11",16792
"2021-05-12",16383
"2021-05-13",9615
"2021-05-14",7494
"2021-05-15",8361
"2021-05-16",4271
"2021-05-17",5160
"2021-05-18",12184
"2021-05-19",11358
"2021-05-20",8389
"2021-05-21",7500
"2021-05-22",5745
"2021-05-23",1888
"2021-05-24",1792
"2021-05-25",3606
"2021-05-26",6945
"2021-05-27",6773
"2021-05-28",5043
"2021-05-29",3638
"2021-05-30",1577
"2021-05-31",2284
"2021-06-01",5107
"2021-06-02",4502
"2021-06-03",2945
"2021-06-04",2092
"2021-06-05",2168
"2021-06-06",1105
"2021-06-07",1686
"2021-06-08",3511
"2021-06-09",2870
"2021-06-10",2272
"2021-06-11",1838
"2021-06-12",1188
"2021-06-13",342
"2021-06-14",693
"2021-06-15",1699
"2021-06-16",1464
"2021-06-17",1154
"2021-06-18",1015
"2021-06-19",750
"2021-06-20",269
"2021-06-21",595
"2021-06-22",987
"2021-06-23",852
"2021-06-24",664
"2021-06-25",745
"2021-06-26",449
"2021-06-27",210
"2021-06-28",504
"2021-06-29",844
"2021-06-30",853
"2021-07-01",691
"2021-07-02",646
"2021-07-03",503
"2021-07-04",209
"2021-07-05",540
"2021-07-06",1057
"2021-07-07",958
"2021-07-08",872
"2021-07-09",934
"2021-07-10",762
"2021-07-11",297
"2021-07-12",736
"2021-07-13",1753
"2021-07-14",1604
"2021-07-15",1444
"2021-07-16",1584
"2021-07-17",1264
"2021-07-18",501
"2021-07-19",1319
"2021-07-20",1837
"2021-07-21",2237
"2021-07-22",2207
"2021-07-23",2101
"2021-07-24",1578
"2021-07-25",638
"2021-07-26",1625
"2021-07-27",2948
"2021-07-28",2824
"2021-07-29",2625
"2021-07-30",2512
"2021-07-31",1935
"2021-08-01",778
"2021-08-02",2101
"2021-08-03",3734
"2021-08-04",3547
"2021-08-05",3517
"2021-08-06",3501
"2021-08-07",2777
"2021-08-08",1138
"2021-08-09",2921
"2021-08-10",5527
"2021-08-11",5576
"2021-08-12",5415
"2021-08-13",5767
"2021-08-14",4608
"2021-08-15",2053
"2021-08-16",4441
"2021-08-17",8874
"2021-08-18",8756
"2021-08-19",8668
"2021-08-20",8833
"2021-08-21",6827
"2021-08-22",3104
"2021-08-23",6562
"2021-08-24",12892
"2021-08-25",12725
"2021-08-26",11619
"2021-08-27",10392
"2021-08-28",8398
"2021-08-29",3750
"2021-08-30",7064
"2021-08-31",14601
"2021-09-01",14749
"2021-09-02",12715
"2021-09-03",12055
"2021-09-04",9483
"2021-09-05",4053
"2021-09-06",7001
"2021-09-07",15125
"2021-09-08",14159
"2021-09-09",12382
"2021-09-10",11141
"2021-09-11",8568
"2021-09-12",3286
"2021-09-13",6867
"2021-09-14",13386
"2021-09-15",12225
"2021-09-16",10266
"2021-09-17",8885
"2021-09-18",7041
"2021-09-19",2783
"2021-09-20",5418
"2021-09-21",11250
"2021-09-22",10450
"2021-09-23",9089
"2021-09-24",8401
"2021-09-25",6353
"2021-09-26",2640
"2021-09-27",5759
"2021-09-28",12645
"2021-09-29",11378
"2021-09-30",9502
"2021-10-01",8382
"2021-10-02",6151
"2021-10-03",2647
"2021-10-04",5657
"2021-10-05",12216
"2021-10-06",11100
"2021-10-07",10134
"2021-10-08",9207
"2021-10-09",7022
"2021-10-10",2635
"2021-10-11",6236
"2021-10-12",12640
"2021-10-13",12053
"2021-10-14",11304
"2021-10-15",11129
"2021-10-16",8488
"2021-10-17",3407
"2021-10-18",8074
"2021-10-19",19114
"2021-10-20",17944
"2021-10-21",17244
"2021-10-22",16652
"2021-10-23",13297
"2021-10-24",5168
"2021-10-25",11813
"2021-10-26",26319
"2021-10-27",27316
"2021-10-28",24296
"2021-10-29",22548
"2021-10-30",17089
"2021-10-31",7464
"2021-11-01",11440
"2021-11-02",24370
"2021-11-03",36092
"2021-11-04",36436
"2021-11-05",33730
"2021-11-06",23774
"2021-11-07",11865
"2021-11-08",24239
"2021-11-09",47167
"2021-11-10",50782
"2021-11-11",49740
"2021-11-12",45927
"2021-11-13",34014
"2021-11-14",19070
"2021-11-15",34461
"2021-11-16",63024
"2021-11-17",63103
"2021-11-18",61121
"2021-11-19",62374
"2021-11-20",42287
"2021-11-21",24753
"2021-11-22",46168
"2021-11-23",74472
"2021-11-24",75682
"2021-11-25",71821
"2021-11-26",63804
"2021-11-27",44821
"2021-11-28",25510
"2021-11-29",43567
"2021-11-30",72941
"2021-12-01",72485
"2021-12-02",64712
"2021-12-03",44087
