"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Aug 20, 2019",11651.18,11711.78,11764.93,11618.93,"68.83M","-0.55%"
"Aug 19, 2019",11715.37,11679.72,11759,11625.67,"78.46M","1.32%"
"Aug 16, 2019",11562.74,11460.65,11578.84,11447.34,"114.06M","1.31%"
"Aug 15, 2019",11412.67,11522.46,11530.01,11266.48,"116.68M","-0.70%"
"Aug 14, 2019",11492.66,11758.75,11759.57,11459.37,"106.03M","-2.19%"
"Aug 13, 2019",11750.13,11632.85,11835.88,11539.63,"116.61M","0.60%"
"Aug 12, 2019",11679.68,11801.06,11836.97,11647.01,"76.12M","-0.12%"
"Aug 09, 2019",11693.8,11806.82,11865.63,11674.11,"110.49M","-1.28%"
"Aug 08, 2019",11845.41,11752.96,11845.41,11683.99,"104.28M","1.68%"
"Aug 07, 2019",11650.15,11636.34,11747.74,11559.76,"112.20M","0.71%"
"Aug 06, 2019",11567.96,11690.27,11748.83,11567.96,"88.89M","-0.78%"
"Aug 05, 2019",11658.51,11758.44,11797.52,11628.57,"117.30M","-1.80%"
"Aug 02, 2019",11872.44,12033.68,12034.91,11836.75,"142.97M","-3.11%"
"Aug 01, 2019",12253.15,12134.71,12254.03,12129.33,"90.47M","0.53%"
"Jul 31, 2019",12189.04,12149.09,12226.49,12139.03,"94.02M","0.34%"
"Jul 30, 2019",12147.24,12398.24,12404.51,12115.28,"118.26M","-2.18%"
"Jul 29, 2019",12417.47,12398.29,12473.97,12387.58,"66.30M","-0.02%"
"Jul 26, 2019",12419.9,12363.86,12428.05,12356.15,"73.31M","0.47%"
"Jul 25, 2019",12362.1,12576.02,12599.93,12299.1,"119.52M","-1.28%"
"Jul 24, 2019",12522.89,12510.52,12550.34,12476.55,"96.09M","0.26%"
"Jul 23, 2019",12490.74,12384.66,12531.16,12369.19,"97.32M","1.64%"
"Jul 22, 2019",12289.4,12243.58,12346.02,12236.7,"60.32M","0.24%"
"Jul 19, 2019",12260.07,12302.64,12340.11,12211.67,"80.21M","0.26%"
"Jul 18, 2019",12227.85,12194.33,12296.3,12172.59,"75.54M","-0.92%"
"Jul 17, 2019",12341.03,12429.87,12453.33,12324.33,"75.11M","-0.72%"
"Jul 16, 2019",12430.97,12392.19,12465.19,12366.97,"75.14M","0.35%"
"Jul 15, 2019",12387.34,12346.59,12434.14,12301.08,"70.76M","0.52%"
"Jul 12, 2019",12323.32,12318.5,12354.87,12304.98,"78.38M","-0.07%"
"Jul 11, 2019",12332.12,12401.02,12417.93,12307.34,"78.19M","-0.33%"
"Jul 10, 2019",12373.41,12412.99,12448.81,12356.8,"80.44M","-0.51%"
"Jul 09, 2019",12436.55,12436.97,12477.58,12364.16,"105.80M","-0.85%"
"Jul 08, 2019",12543.51,12541.18,12587.44,12507.72,"91.08M","-0.20%"
"Jul 05, 2019",12568.53,12632.12,12632.12,12522.11,"79.90M","-0.49%"
"Jul 04, 2019",12629.9,12644.35,12656.05,12616.29,"54.65M","0.11%"
