"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Jul 18, 2019",27222.97,27191.98,27266.81,27068.79,"218.82M","0.01%"
"Jul 17, 2019",27219.85,27320.91,27343.06,27218.38,"196.78M","-0.42%"
"Jul 16, 2019",27335.63,27349.32,27398.68,27290.24,"226.00M","-0.09%"
"Jul 15, 2019",27359.16,27364.69,27364.69,27294.17,"199.73M","0.10%"
"Jul 12, 2019",27332.03,27139.49,27333.79,27135.45,"248.39M","0.90%"
"Jul 11, 2019",27088.08,26950.16,27088.45,26916.32,"252.30M","0.85%"
"Jul 10, 2019",26860.2,26851.96,26983.45,26813.11,"207.99M","0.29%"
"Jul 09, 2019",26783.49,26725.12,26807.7,26665.57,"218.33M","-0.08%"
"Jul 08, 2019",26806.14,26835.64,26839.14,26744.87,"214.29M","-0.43%"
"Jul 05, 2019",26922.12,26867.75,26950.81,26733.33,"192.17M","-0.16%"
"Jul 03, 2019",26966,26832.32,26966,26831.44,"149.84M","0.67%"
"Jul 02, 2019",26786.68,26719.53,26787.56,26632.65,"219.27M","0.26%"
"Jul 01, 2019",26717.43,26805.86,26890.64,26616.21,"285.35M","0.44%"
"Jun 28, 2019",26599.96,26605.93,26638.35,26522.27,"499.35M","0.28%"
"Jun 27, 2019",26526.58,26523.72,26607.24,26465.32,"246.93M","-0.04%"
"Jun 26, 2019",26536.82,26599.42,26660.04,26536.33,"274.34M","-0.04%"
"Jun 25, 2019",26548.22,26731.61,26752.31,26527.66,"282.16M","-0.67%"
"Jun 24, 2019",26727.54,26727.61,26806.52,26723.37,"232.39M","0.03%"
"Jun 21, 2019",26719.13,26749.12,26907.37,26705.87,"485.56M","-0.13%"
"Jun 20, 2019",26753.17,26665.38,26798.63,26539.69,"278.17M","0.94%"
"Jun 19, 2019",26504,26490.16,26569.75,26415.05,"240.95M","0.15%"
"Jun 18, 2019",26465.54,26228.88,26527.19,26227.76,"273.49M","1.35%"
"Jun 17, 2019",26112.53,26108.53,26165.78,26049.8,"199.50M","0.09%"
"Jun 14, 2019",26089.61,26076.36,26162.28,25988.09,"208.02M","-0.07%"
"Jun 13, 2019",26106.77,26036.94,26146.91,25995.71,"213.40M","0.39%"
"Jun 12, 2019",26004.83,26040.3,26082.1,25958.66,"223.69M","-0.17%"
"Jun 11, 2019",26048.51,26180.59,26248.67,25998.87,"253.49M","-0.05%"
"Jun 10, 2019",26062.68,26090.22,26210.61,26054.31,"249.28M","0.30%"
"Jun 07, 2019",25983.94,25768.72,26072.75,25768.72,"263.01M","1.02%"
"Jun 06, 2019",25720.66,25567.45,25800.3,25518.05,"248.07M","0.71%"
"Jun 05, 2019",25539.57,25451,25544.66,25373.58,"262.66M","0.82%"
"Jun 04, 2019",25332.18,24962.82,25343.77,24962.82,"281.69M","2.06%"
"Jun 03, 2019",24819.78,24830.16,24935.21,24680.57,"328.24M","0.02%"
"May 31, 2019",24815.04,25046.31,25046.31,24809.51,"292.23M","-1.41%"
"May 30, 2019",25169.88,25139.94,25218.54,25066.75,"215.24M","0.17%"
"May 29, 2019",25126.41,25231.46,25231.46,24938.24,"298.93M","-0.87%"
"May 28, 2019",25347.77,25616.55,25717.63,25342.28,"364.85M","-0.93%"
"May 24, 2019",25585.69,25551.07,25670.81,25496.2,"201.37M","0.37%"
"May 23, 2019",25490.47,25657.99,25657.99,25328.09,"316.94M","-1.11%"
"May 22, 2019",25776.61,25818.46,25878.21,25755.11,"241.76M","-0.39%"
"May 21, 2019",25877.33,25782.34,25898.27,25779.61,"260.87M","0.77%"
"May 20, 2019",25679.9,25655.31,25751.71,25560.55,"279.56M","-0.33%"
"May 17, 2019",25764,25719.95,25948.74,25657.78,"283.76M","-0.38%"
"May 16, 2019",25862.68,25692.14,25957.63,25692.14,"320.96M","0.84%"
"May 15, 2019",25648.02,25400.13,25724.89,25341.94,"270.72M","0.45%"
"May 14, 2019",25532.05,25384.03,25688.96,25384.03,"291.57M","0.82%"
"May 13, 2019",25324.99,25568.06,25568.06,25222.51,"361.24M","-2.38%"
"May 10, 2019",25942.37,25763.72,26019.32,25469.86,"294.58M","0.44%"
"May 09, 2019",25828.36,25878.85,25884.89,25517.39,"334.76M","-0.54%"
"May 08, 2019",25967.33,25933.79,26118.1,25889.41,"276.42M","0.01%"
"May 07, 2019",25965.09,26276.9,26276.9,25789.71,"334.96M","-1.79%"
"May 06, 2019",26438.48,26160.62,26476.27,26033.95,"283.02M","-0.25%"
"May 03, 2019",26504.95,26379.14,26534.96,26370.09,"248.90M","0.75%"
"May 02, 2019",26307.79,26407.15,26454.69,26180.36,"287.61M","-0.46%"
"May 01, 2019",26430.14,26639.06,26689.39,26426.38,"303.85M","-0.61%"
"Apr 30, 2019",26592.91,26594.56,26614.04,26419.47,"340.32M","0.15%"
"Apr 29, 2019",26554.39,26559.87,26602.54,26520.75,"279.45M","0.04%"
"Apr 26, 2019",26543.33,26454.62,26543.56,26392.55,"317.29M","0.31%"
"Apr 25, 2019",26462.08,26426.37,26536.48,26310.28,"296.73M","-0.51%"
"Apr 24, 2019",26597.05,26652.56,26680.58,26582.86,"283.37M","-0.22%"
"Apr 23, 2019",26656.39,26513.83,26695.96,26503.56,"311.69M","0.55%"
"Apr 22, 2019",26511.05,26510.77,26553.05,26458.61,"232.57M","-0.18%"
"Apr 18, 2019",26559.54,26463.37,26602.42,26444.53,"332.85M","0.42%"
"Apr 17, 2019",26449.54,26468.53,26501.02,26391.86,"367.78M","-0.01%"
"Apr 16, 2019",26452.66,26482.19,26530.71,26397.19,"302.34M","0.26%"
"Apr 15, 2019",26384.77,26407.76,26424.85,26316.42,"250.62M","-0.10%"
"Apr 12, 2019",26412.3,26357.79,26436.68,26309.72,"369.91M","1.03%"
"Apr 11, 2019",26143.05,26188.21,26229.88,26062.59,"211.68M","-0.05%"
"Apr 10, 2019",26157.16,26173.71,26209.49,26101.24,"203.13M","0.03%"
