"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","12,760.73","12,754.77","12,869.96","12,698.42","70.30M","-0.51%"
"Sep 29, 2020","12,825.82","12,817.79","12,859.14","12,738.30","49.84M","-0.35%"
"Sep 28, 2020","12,870.87","12,673.73","12,873.40","12,660.15","72.43M","3.22%"
"Sep 25, 2020","12,469.20","12,615.91","12,622.77","12,341.58","66.13M","-1.09%"
"Sep 24, 2020","12,606.57","12,520.47","12,684.80","12,512.50","61.27M","-0.29%"
"Sep 23, 2020","12,642.97","12,737.32","12,830.70","12,642.97","60.24M","0.39%"
"Sep 22, 2020","12,594.39","12,629.71","12,698.12","12,592.97","69.46M","0.41%"
"Sep 21, 2020","12,542.44","12,998.90","12,998.90","12,505.16","119.64M","-4.37%"
"Sep 18, 2020","13,116.25","13,210.86","13,263.44","13,116.25","185.86M","-0.70%"
"Sep 17, 2020","13,208.12","13,060.18","13,245.87","13,035.94","55.91M","-0.36%"
"Sep 16, 2020","13,255.37","13,224.16","13,277.23","13,181.56","62.42M","0.29%"
"Sep 15, 2020","13,217.67","13,220.81","13,262.81","13,138.20","60.48M","0.18%"
"Sep 14, 2020","13,193.66","13,329.61","13,339.14","13,159.72","49.24M","-0.07%"
"Sep 11, 2020","13,202.84","13,198.74","13,255.47","13,117.46","57.03M","-0.05%"
"Sep 10, 2020","13,208.89","13,265.51","13,297.71","13,161.93","56.81M","-0.21%"
"Sep 09, 2020","13,237.21","12,990.52","13,257.54","12,973.46","73.66M","2.07%"
"Sep 08, 2020","12,968.33","13,126.23","13,147.52","12,856.55","72.30M","-1.01%"
"Sep 07, 2020","13,100.28","12,931.40","13,117.61","12,920.92","54.82M","2.01%"
"Sep 04, 2020","12,842.66","12,916.12","13,127.08","12,753.69","94.28M","-1.65%"
"Sep 03, 2020","13,057.77","13,354.72","13,460.46","13,004.83","81.70M","-1.40%"
"Sep 02, 2020","13,243.43","13,071.66","13,303.17","13,062.17","80.77M","2.07%"
"Sep 01, 2020","12,974.25","13,037.20","13,127.28","12,850.30","63.05M","0.22%"
"Aug 31, 2020","12,945.38","13,103.93","13,148.19","12,923.76","59.56M","-0.67%"
"Aug 28, 2020","13,033.20","13,140.60","13,147.24","12,951.26","63.77M","-0.48%"
"Aug 27, 2020","13,096.36","13,206.58","13,218.05","13,087.37","53.03M","-0.71%"
"Aug 26, 2020","13,190.15","13,041.83","13,192.32","13,010.53","46.70M","0.98%"
"Aug 25, 2020","13,061.62","13,136.77","13,221.82","13,060.87","55.97M","-0.04%"
"Aug 24, 2020","13,066.54","12,945.97","13,104.31","12,924.70","64.18M","2.36%"
"Aug 21, 2020","12,764.80","12,879.45","12,911.27","12,633.71","72.00M","-0.51%"
"Aug 20, 2020","12,830.00","12,829.39","12,891.14","12,755.52","54.74M","-1.14%"
"Aug 19, 2020","12,977.33","12,838.63","12,980.70","12,833.80","52.63M","0.74%"
"Aug 18, 2020","12,881.76","12,836.87","13,052.84","12,807.00","56.72M","-0.30%"
"Aug 17, 2020","12,920.66","12,924.88","12,960.84","12,847.85","44.40M","0.15%"
"Aug 14, 2020","12,901.34","12,965.22","12,971.08","12,797.52","54.99M","-0.71%"
"Aug 13, 2020","12,993.71","13,044.47","13,075.25","12,956.30","60.06M","-0.50%"
"Aug 12, 2020","13,058.63","12,917.34","13,101.12","12,879.11","62.44M","0.86%"
"Aug 11, 2020","12,946.89","12,806.97","13,046.13","12,802.06","77.57M","2.04%"
"Aug 10, 2020","12,687.53","12,729.10","12,753.12","12,605.82","49.57M","0.10%"
"Aug 07, 2020","12,674.88","12,634.79","12,691.66","12,517.44","57.75M","0.66%"
"Aug 06, 2020","12,591.68","12,664.55","12,799.21","12,519.85","67.70M","-0.54%"
"Aug 05, 2020","12,660.25","12,667.12","12,757.03","12,632.99","67.96M","0.47%"
"Aug 04, 2020","12,600.87","12,744.13","12,768.58","12,528.07","65.61M","-0.36%"
"Aug 03, 2020","12,646.98","12,374.46","12,698.56","12,365.61","73.27M","2.71%"
"Jul 31, 2020","12,313.36","12,403.10","12,524.75","12,313.36","81.41M","-0.54%"
"Jul 30, 2020","12,379.65","12,762.12","12,768.71","12,253.92","103.74M","-3.45%"
"Jul 29, 2020","12,822.26","12,819.63","12,864.39","12,789.97","70.23M","-0.10%"
"Jul 28, 2020","12,835.28","12,886.23","12,936.01","12,746.46","58.13M","-0.03%"
"Jul 27, 2020","12,838.66","12,865.75","12,908.66","12,811.44","60.60M","0.00%"
"Jul 24, 2020","12,838.06","12,919.31","12,935.50","12,812.02","63.78M","-2.02%"
"Jul 23, 2020","13,103.39","13,183.50","13,217.73","13,072.82","64.54M","-0.01%"
"Jul 22, 2020","13,104.25","13,165.29","13,197.92","13,067.06","68.19M","-0.51%"
"Jul 21, 2020","13,171.83","13,194.93","13,313.90","13,147.30","92.17M","0.96%"
"Jul 20, 2020","13,046.92","12,898.11","13,063.69","12,811.72","59.66M","0.99%"
"Jul 17, 2020","12,919.61","12,915.27","12,954.25","12,870.27","75.18M","0.35%"
"Jul 16, 2020","12,874.97","12,857.30","12,919.23","12,805.47","68.01M","-0.43%"
"Jul 15, 2020","12,930.98","12,812.11","12,999.84","12,773.44","78.62M","1.84%"
"Jul 14, 2020","12,697.36","12,642.23","12,697.91","12,535.90","76.74M","-0.80%"
"Jul 13, 2020","12,799.97","12,817.19","12,836.41","12,688.94","72.52M","1.32%"
"Jul 10, 2020","12,633.71","12,442.22","12,649.99","12,416.69","72.73M","1.15%"
"Jul 09, 2020","12,489.46","12,639.17","12,709.68","12,459.16","76.14M","-0.04%"
"Jul 08, 2020","12,494.81","12,542.58","12,670.19","12,463.22","74.36M","-0.97%"
"Jul 07, 2020","12,616.80","12,660.09","12,661.12","12,525.18","78.79M","-0.92%"
"Jul 06, 2020","12,733.45","12,774.77","12,842.59","12,655.21","78.19M","1.64%"
"Jul 03, 2020","12,528.18","12,644.60","12,649.98","12,476.13","54.01M","-0.64%"
"Jul 02, 2020","12,608.46","12,378.80","12,658.17","12,370.72","103.86M","2.84%"
"Jul 01, 2020","12,260.57","12,391.72","12,391.72","12,095.11","81.13M","-0.41%"
"Jun 30, 2020","12,310.93","12,287.94","12,350.35","12,188.09","124.63M","0.64%"
"Jun 29, 2020","12,232.12","12,090.41","12,297.68","12,045.26","121.31M","1.18%"
"Jun 26, 2020","12,089.39","12,308.48","12,347.45","12,060.89","111.97M","-0.73%"
"Jun 25, 2020","12,177.87","12,102.25","12,236.46","11,957.31","128.25M","0.69%"
"Jun 24, 2020","12,093.94","12,459.81","12,489.24","12,093.94","102.78M","-3.43%"
"Jun 23, 2020","12,523.76","12,360.09","12,616.12","12,332.10","113.42M","2.13%"
"Jun 22, 2020","12,262.97","12,194.48","12,399.37","12,172.12","91.98M","-0.55%"
"Jun 19, 2020","12,330.76","12,375.18","12,447.15","12,319.19","227.98M","0.40%"
"Jun 18, 2020","12,281.53","12,347.49","12,483.84","12,189.67","154.82M","-0.81%"
"Jun 17, 2020","12,382.14","12,312.44","12,432.23","12,288.17","102.04M","0.54%"
"Jun 16, 2020","12,315.66","12,168.37","12,434.27","12,132.80","122.78M","3.39%"
"Jun 15, 2020","11,911.35","11,661.36","11,968.06","11,597.82","99.88M","-0.32%"
"Jun 12, 2020","11,949.28","11,876.34","12,172.63","11,828.66","118.02M","-0.18%"
"Jun 11, 2020","11,970.29","12,223.42","12,301.95","11,970.29","133.28M","-4.47%"
"Jun 10, 2020","12,530.16","12,719.15","12,763.89","12,471.06","112.49M","-0.70%"
"Jun 09, 2020","12,617.99","12,859.83","12,864.91","12,502.45","145.98M","-1.57%"
"Jun 08, 2020","12,819.59","12,722.68","12,913.13","12,670.95","140.37M","-0.22%"
"Jun 05, 2020","12,847.68","12,565.16","12,858.79","12,560.19","168.93M","3.36%"
"Jun 04, 2020","12,430.56","12,390.03","12,558.24","12,326.44","138.86M","-0.45%"
"Jun 03, 2020","12,487.36","12,147.12","12,507.41","12,133.70","152.04M","3.88%"
"Jun 02, 2020","12,021.28","11,896.70","12,055.57","11,850.34","143.10M","3.75%"
"May 29, 2020","11,586.85","11,649.37","11,729.98","11,575.74","170.60M","-1.65%"
"May 28, 2020","11,781.13","11,746.78","11,813.14","11,654.83","124.13M","1.06%"
"May 27, 2020","11,657.69","11,530.20","11,747.20","11,519.77","168.97M","1.33%"
"May 26, 2020","11,504.65","11,488.99","11,544.35","11,429.88","124.58M","1.00%"
"May 25, 2020","11,391.28","11,186.04","11,391.28","11,118.12","72.13M","2.87%"
"May 22, 2020","11,073.87","10,896.28","11,138.15","10,867.17","86.15M","0.07%"
"May 21, 2020","11,065.93","11,088.12","11,194.92","11,036.91","73.57M","-1.41%"
"May 20, 2020","11,223.71","11,029.33","11,246.91","10,978.57","98.83M","1.34%"
"May 19, 2020","11,075.29","11,200.92","11,201.18","10,936.07","125.54M","0.15%"
"May 18, 2020","11,058.87","10,683.86","11,089.50","10,677.52","118.98M","5.67%"
"May 15, 2020","10,465.17","10,470.85","10,547.19","10,382.54","116.08M","1.24%"
"May 14, 2020","10,337.02","10,418.04","10,474.08","10,160.89","133.62M","-1.95%"
"May 13, 2020","10,542.66","10,669.99","10,698.13","10,530.32","108.74M","-2.56%"
"May 12, 2020","10,819.50","10,777.74","10,886.01","10,772.58","88.86M","-0.05%"
"May 11, 2020","10,824.99","10,948.24","10,986.22","10,740.82","88.08M","-0.73%"
"May 08, 2020","10,904.48","10,882.44","10,918.32","10,819.07","81.80M","1.35%"
"May 07, 2020","10,759.27","10,640.77","10,761.86","10,617.23","102.15M","1.44%"
"May 06, 2020","10,606.20","10,716.51","10,773.86","10,598.90","94.91M","-1.15%"
"May 05, 2020","10,729.46","10,627.07","10,736.95","10,518.94","103.77M","2.51%"
"May 04, 2020","10,466.80","10,543.36","10,578.43","10,426.06","140.43M","-3.64%"
"Apr 30, 2020","10,861.64","11,195.21","11,235.57","10,839.30","162.73M","-2.22%"
"Apr 29, 2020","11,107.74","10,812.74","11,125.35","10,789.52","145.35M","2.89%"
"Apr 28, 2020","10,795.63","10,658.47","10,897.82","10,651.58","146.55M","1.27%"
"Apr 27, 2020","10,659.99","10,551.07","10,660.36","10,523.10","122.48M","3.13%"
"Apr 24, 2020","10,336.09","10,299.31","10,486.47","10,299.31","120.04M","-1.69%"
"Apr 23, 2020","10,513.79","10,437.38","10,608.39","10,325.11","97.91M","0.95%"
"Apr 22, 2020","10,415.03","10,370.25","10,425.02","10,321.20","92.39M","1.61%"
"Apr 21, 2020","10,249.85","10,519.44","10,524.73","10,249.85","121.19M","-3.99%"
"Apr 20, 2020","10,675.90","10,704.35","10,707.31","10,444.55","103.61M","0.47%"
"Apr 17, 2020","10,625.78","10,607.35","10,756.78","10,542.71","143.34M","3.15%"
"Apr 16, 2020","10,301.54","10,420.26","10,438.37","10,236.24","106.13M","0.21%"
"Apr 15, 2020","10,279.76","10,678.19","10,678.19","10,243.11","133.09M","-3.90%"
"Apr 14, 2020","10,696.56","10,733.97","10,820.17","10,658.96","106.04M","1.25%"
"Apr 09, 2020","10,564.74","10,490.65","10,649.79","10,311.70","134.48M","2.24%"
"Apr 08, 2020","10,332.89","10,301.56","10,340.79","10,198.22","102.43M","-0.23%"
"Apr 07, 2020","10,356.70","10,464.11","10,590.41","10,225.02","149.51M","2.79%"
"Apr 06, 2020","10,075.17","9,889.03","10,097.31","9,841.49","126.69M","5.77%"
"Apr 03, 2020","9,525.77","9,535.27","9,626.72","9,470.20","116.25M","-0.47%"
"Apr 02, 2020","9,570.82","9,587.45","9,650.27","9,337.02","144.23M","0.27%"
"Apr 01, 2020","9,544.75","9,610.67","9,686.46","9,498.05","132.86M","-3.94%"
"Mar 31, 2020","9,935.84","9,970.79","10,096.42","9,703.88","151.51M","1.22%"
"Mar 30, 2020","9,815.97","9,725.88","9,817.51","9,453.79","131.12M","1.90%"
"Mar 27, 2020","9,632.52","9,793.50","9,886.18","9,541.83","156.14M","-3.68%"
"Mar 26, 2020","10,000.96","9,621.24","10,000.96","9,526.17","160.45M","1.28%"
"Mar 25, 2020","9,874.26","9,987.37","10,137.62","9,460.91","204.69M","1.79%"
"Mar 24, 2020","9,700.57","9,242.06","9,700.57","9,102.17","203.84M","10.98%"
"Mar 23, 2020","8,741.15","8,536.33","9,071.14","8,480.28","197.21M","-2.10%"
"Mar 20, 2020","8,928.95","9,080.49","9,201.07","8,838.30","286.47M","3.70%"
"Mar 19, 2020","8,610.43","8,495.94","8,668.48","8,257.53","205.54M","2.00%"
"Mar 18, 2020","8,441.71","8,613.35","8,670.41","8,400.18","207.56M","-5.56%"
"Mar 17, 2020","8,939.10","9,141.17","9,145.93","8,423.56","220.09M","2.25%"
"Mar 16, 2020","8,742.25","8,728.48","8,967.11","8,255.65","302.20M","-5.31%"
"Mar 13, 2020","9,232.08","9,480.78","9,985.74","9,064.68","325.90M","0.77%"
"Mar 12, 2020","9,161.13","9,863.99","9,932.56","9,139.12","390.48M","-12.24%"
"Mar 11, 2020","10,438.68","10,601.85","10,761.43","10,390.51","216.71M","-0.35%"
"Mar 10, 2020","10,475.49","10,724.98","11,032.29","10,423.90","267.40M","-1.41%"
"Mar 09, 2020","10,625.02","10,690.08","10,995.22","10,556.64","305.32M","-7.94%"
"Mar 06, 2020","11,541.87","11,694.56","11,769.85","11,447.20","195.04M","-3.37%"
"Mar 05, 2020","11,944.72","12,191.41","12,207.77","11,844.88","148.09M","-1.51%"
"Mar 04, 2020","12,127.69","11,992.59","12,199.82","11,929.24","147.85M","1.19%"
"Mar 03, 2020","11,985.39","12,013.06","12,272.99","11,906.82","195.94M","1.08%"
"Mar 02, 2020","11,857.87","12,030.27","12,121.60","11,624.63","207.21M","-0.27%"
"Feb 28, 2020","11,890.35","11,891.87","12,008.59","11,724.12","274.62M","-3.86%"
"Feb 27, 2020","12,367.46","12,526.60","12,593.62","12,211.63","191.24M","-3.19%"
"Feb 26, 2020","12,774.88","12,682.16","12,849.17","12,368.05","163.62M","-0.12%"
"Feb 25, 2020","12,790.49","13,132.04","13,132.04","12,778.66","129.55M","-1.88%"
"Feb 24, 2020","13,035.24","13,231.38","13,236.58","12,982.14","165.15M","-4.01%"
"Feb 21, 2020","13,579.33","13,609.94","13,689.23","13,500.50","108.77M","-0.62%"
"Feb 20, 2020","13,664.00","13,774.44","13,788.41","13,664.00","86.44M","-0.91%"
"Feb 19, 2020","13,789.00","13,751.05","13,789.00","13,710.78","90.19M","0.79%"
"Feb 18, 2020","13,681.19","13,668.94","13,731.39","13,660.45","82.09M","-0.75%"
"Feb 17, 2020","13,783.89","13,770.67","13,795.24","13,754.04","57.40M","0.29%"
"Feb 14, 2020","13,744.21","13,756.47","13,788.51","13,728.12","66.31M","-0.01%"
"Feb 13, 2020","13,745.43","13,695.93","13,745.43","13,576.96","92.09M","-0.03%"
"Feb 12, 2020","13,749.78","13,671.15","13,758.70","13,658.15","86.73M","0.89%"
"Feb 11, 2020","13,627.84","13,604.74","13,668.43","13,557.96","104.75M","0.99%"
"Feb 10, 2020","13,494.03","13,476.00","13,501.74","13,445.41","60.46M","-0.15%"
"Feb 07, 2020","13,513.81","13,530.77","13,551.03","13,463.98","87.04M","-0.45%"
"Feb 06, 2020","13,574.82","13,570.33","13,606.97","13,533.66","114.57M","0.72%"
"Feb 05, 2020","13,478.33","13,224.27","13,488.58","13,223.14","108.45M","1.48%"
"Feb 04, 2020","13,281.74","13,135.61","13,282.63","13,131.07","80.89M","1.81%"
"Feb 03, 2020","13,045.19","13,033.17","13,077.57","12,987.53","81.39M","0.49%"
"Jan 31, 2020","12,981.97","13,196.80","13,208.47","12,973.70","106.90M","-1.33%"
"Jan 30, 2020","13,157.12","13,186.49","13,262.18","13,118.97","100.71M","-1.41%"
"Jan 29, 2020","13,345.00","13,316.42","13,371.30","13,296.03","67.88M","0.16%"
"Jan 28, 2020","13,323.69","13,274.01","13,327.12","13,163.36","91.83M","0.90%"
"Jan 27, 2020","13,204.77","13,374.99","13,399.42","13,195.28","101.41M","-2.74%"
"Jan 24, 2020","13,576.68","13,512.84","13,604.85","13,510.79","87.99M","1.41%"
"Jan 23, 2020","13,388.42","13,455.90","13,486.14","13,382.23","90.75M","-0.94%"
"Jan 22, 2020","13,515.75","13,601.65","13,640.06","13,498.03","73.13M","-0.30%"
"Jan 21, 2020","13,555.87","13,456.90","13,560.68","13,443.25","64.63M","0.05%"
"Jan 20, 2020","13,548.94","13,503.83","13,550.83","13,487.21","52.88M","0.17%"
"Jan 17, 2020","13,526.13","13,513.48","13,557.78","13,497.30","86.34M","0.72%"
"Jan 16, 2020","13,429.43","13,463.46","13,492.74","13,382.98","39.61M","-0.02%"
"Jan 15, 2020","13,432.30","13,444.95","13,458.91","13,388.48","72.05M","-0.18%"
"Jan 14, 2020","13,456.49","13,439.20","13,487.90","13,362.20","74.56M","0.04%"
"Jan 13, 2020","13,451.52","13,521.86","13,529.21","13,404.72","67.21M","-0.24%"
"Jan 10, 2020","13,483.31","13,533.46","13,548.20","13,483.31","77.94M","-0.09%"
"Jan 09, 2020","13,495.06","13,474.76","13,523.34","13,456.78","86.97M","1.31%"
"Jan 08, 2020","13,320.18","13,140.49","13,334.04","13,106.27","88.18M","0.71%"
"Jan 07, 2020","13,226.83","13,199.59","13,283.88","13,166.40","78.28M","0.76%"
"Jan 06, 2020","13,126.99","13,085.49","13,143.11","12,948.17","71.78M","-0.70%"
"Jan 03, 2020","13,219.14","13,266.39","13,282.74","13,120.72","80.79M","-1.25%"
"Jan 02, 2020","13,385.93","13,233.71","13,425.03","13,225.16","75.34M","1.03%"
"Dec 30, 2019","13,249.01","13,301.43","13,316.62","13,244.17","31.43M","-0.66%"
"Dec 27, 2019","13,337.11","13,338.32","13,381.44","13,311.52","43.76M","0.27%"
"Dec 23, 2019","13,300.98","13,304.77","13,331.86","13,285.55","56.22M","-0.13%"
"Dec 20, 2019","13,318.90","13,210.26","13,324.11","13,201.80","170.72M","0.81%"
"Dec 19, 2019","13,211.96","13,226.70","13,248.98","13,140.22","84.02M","-0.08%"
"Dec 18, 2019","13,222.16","13,266.35","13,286.00","13,215.88","71.00M","-0.49%"
"Dec 17, 2019","13,287.83","13,391.27","13,394.47","13,269.43","79.26M","-0.89%"
"Dec 16, 2019","13,407.66","13,349.86","13,425.85","13,338.38","71.20M","0.94%"
"Dec 13, 2019","13,282.72","13,383.26","13,423.41","13,255.55","106.14M","0.46%"
"Dec 12, 2019","13,221.64","13,167.56","13,287.81","13,105.07","84.00M","0.57%"
"Dec 11, 2019","13,146.74","13,075.43","13,169.77","13,042.70","69.22M","0.58%"
"Dec 10, 2019","13,070.72","13,065.83","13,091.71","12,886.55","80.06M","-0.27%"
"Dec 09, 2019","13,105.61","13,147.57","13,170.77","13,100.24","50.35M","-0.46%"
"Dec 06, 2019","13,166.58","13,087.51","13,171.21","13,055.98","60.14M","0.86%"
"Dec 05, 2019","13,054.80","13,144.38","13,188.64","13,054.80","54.22M","-0.65%"
"Dec 04, 2019","13,140.57","12,998.66","13,157.36","12,995.32","68.44M","1.16%"
"Dec 03, 2019","12,989.29","13,039.61","13,086.03","12,927.07","87.00M","0.19%"
"Dec 02, 2019","12,964.68","13,264.93","13,338.25","12,954.50","105.69M","-2.05%"
"Nov 29, 2019","13,236.38","13,179.25","13,290.33","13,165.07","71.75M","-0.07%"
"Nov 28, 2019","13,245.58","13,247.61","13,259.29","13,215.71","36.77M","-0.31%"
"Nov 27, 2019","13,287.07","13,291.09","13,314.92","13,219.43","67.30M","0.38%"
"Nov 26, 2019","13,236.42","13,256.40","13,261.98","13,193.75","89.58M","-0.08%"
"Nov 25, 2019","13,246.45","13,247.51","13,268.97","13,210.25","54.92M","0.63%"
"Nov 22, 2019","13,163.88","13,145.77","13,244.57","13,120.63","74.72M","0.20%"
"Nov 21, 2019","13,137.70","13,083.00","13,171.85","13,043.90","74.52M","-0.16%"
"Nov 20, 2019","13,158.14","13,127.45","13,182.22","13,071.33","68.74M","-0.48%"
"Nov 19, 2019","13,221.12","13,235.28","13,374.27","13,187.91","68.66M","0.11%"
"Nov 18, 2019","13,207.01","13,255.78","13,282.41","13,137.88","69.78M","-0.26%"
"Nov 15, 2019","13,241.75","13,261.72","13,261.72","13,172.89","81.04M","0.47%"
"Nov 14, 2019","13,180.23","13,198.33","13,219.30","13,159.69","81.58M","-0.38%"
"Nov 13, 2019","13,230.07","13,244.05","13,273.82","13,139.25","77.19M","-0.40%"
"Nov 12, 2019","13,283.51","13,243.53","13,308.26","13,214.66","82.74M","0.65%"
"Nov 11, 2019","13,198.37","13,170.18","13,225.62","13,144.09","72.60M","-0.23%"
"Nov 08, 2019","13,228.56","13,248.62","13,278.18","13,195.83","95.60M","-0.46%"
"Nov 07, 2019","13,289.46","13,258.26","13,300.76","13,227.37","117.10M","0.83%"
"Nov 06, 2019","13,179.89","13,150.94","13,187.66","13,110.91","80.05M","0.24%"
"Nov 05, 2019","13,148.50","13,134.33","13,166.08","13,112.65","83.19M","0.09%"
"Nov 04, 2019","13,136.28","13,022.95","13,171.17","13,019.18","84.78M","1.35%"
"Nov 01, 2019","12,961.05","12,912.09","12,992.07","12,896.72","65.91M","0.73%"
"Oct 31, 2019","12,866.79","12,937.59","12,953.34","12,795.09","100.66M","-0.34%"
"Oct 30, 2019","12,910.23","12,929.42","12,944.26","12,830.33","100.40M","-0.23%"
"Oct 29, 2019","12,939.62","12,946.34","12,951.88","12,897.34","76.95M","-0.02%"
"Oct 28, 2019","12,941.71","12,897.40","12,986.49","12,892.84","69.02M","0.37%"
"Oct 25, 2019","12,894.51","12,886.42","12,895.85","12,834.00","59.80M","0.17%"
"Oct 24, 2019","12,872.10","12,860.63","12,914.24","12,820.67","84.32M","0.58%"
"Oct 23, 2019","12,798.19","12,702.92","12,819.22","12,699.85","76.22M","0.34%"
"Oct 22, 2019","12,754.69","12,757.73","12,791.31","12,730.70","79.43M","0.05%"
"Oct 21, 2019","12,747.96","12,661.93","12,787.35","12,646.28","80.98M","0.91%"
"Oct 18, 2019","12,633.60","12,637.01","12,700.38","12,603.17","88.68M","-0.17%"
"Oct 17, 2019","12,654.95","12,655.32","12,814.49","12,647.86","99.30M","-0.12%"
"Oct 16, 2019","12,670.11","12,644.18","12,698.37","12,603.83","99.48M","0.32%"
"Oct 15, 2019","12,629.79","12,565.68","12,682.40","12,511.90","94.19M","1.15%"
"Oct 14, 2019","12,486.56","12,468.78","12,495.24","12,387.95","59.09M","-0.20%"
"Oct 11, 2019","12,511.65","12,248.88","12,511.65","12,240.94","100.87M","2.86%"
"Oct 10, 2019","12,164.20","12,082.89","12,202.71","12,029.46","88.44M","0.58%"
"Oct 09, 2019","12,094.26","11,973.82","12,165.53","11,953.12","68.81M","1.04%"
"Oct 08, 2019","11,970.20","12,097.89","12,097.94","11,933.02","80.88M","-1.05%"
"Oct 07, 2019","12,097.43","12,008.77","12,105.09","11,969.32","65.61M","0.70%"
"Oct 04, 2019","12,012.81","11,958.31","12,012.91","11,878.98","88.13M","0.73%"
"Oct 02, 2019","11,925.25","12,221.74","12,226.86","11,925.25","95.64M","-2.76%"
"Oct 01, 2019","12,263.83","12,469.67","12,497.28","12,263.83","78.84M","-1.32%"
"Sep 30, 2019","12,428.08","12,367.81","12,441.03","12,346.94","70.13M","0.38%"
"Sep 27, 2019","12,380.94","12,327.79","12,404.47","12,324.71","66.14M","0.75%"
"Sep 26, 2019","12,288.54","12,227.77","12,313.15","12,223.29","78.92M","0.44%"
"Sep 25, 2019","12,234.18","12,250.08","12,261.06","12,141.82","72.63M","-0.59%"
"Sep 24, 2019","12,307.15","12,368.96","12,375.31","12,307.15","60.35M","-0.29%"
"Sep 23, 2019","12,342.33","12,432.30","12,441.02","12,264.14","80.38M","-1.01%"
"Sep 20, 2019","12,468.01","12,462.57","12,490.84","12,418.50","192.99M","0.08%"
"Sep 19, 2019","12,457.70","12,355.92","12,466.78","12,354.83","81.54M","0.55%"
"Sep 18, 2019","12,389.62","12,361.23","12,416.05","12,354.49","70.54M","0.14%"
"Sep 17, 2019","12,372.61","12,370.96","12,392.97","12,303.51","77.79M","-0.06%"
"Sep 16, 2019","12,380.31","12,387.68","12,421.25","12,362.98","80.51M","-0.71%"
"Sep 13, 2019","12,468.53","12,412.72","12,494.25","12,408.93","90.99M","0.47%"
"Sep 12, 2019","12,410.25","12,399.40","12,471.83","12,311.81","111.21M","0.41%"
"Sep 11, 2019","12,359.07","12,341.84","12,394.28","12,317.61","90.58M","0.74%"
"Sep 10, 2019","12,268.71","12,210.88","12,292.14","12,179.88","107.90M","0.35%"
"Sep 09, 2019","12,226.10","12,210.87","12,245.11","12,189.60","74.25M","0.28%"
"Sep 06, 2019","12,191.73","12,146.00","12,205.10","12,131.29","80.41M","0.54%"
"Sep 05, 2019","12,126.78","12,117.90","12,151.31","12,084.17","89.83M","0.85%"
"Sep 04, 2019","12,025.04","12,043.96","12,078.40","11,999.83","63.32M","0.96%"
"Sep 03, 2019","11,910.86","11,921.94","11,956.69","11,869.28","66.70M","-0.36%"
"Sep 02, 2019","11,953.78","11,939.99","11,994.11","11,929.91","46.21M","0.12%"
"Aug 30, 2019","11,939.28","11,850.30","11,989.44","11,845.16","77.69M","0.85%"
"Aug 29, 2019","11,838.88","11,686.84","11,853.91","11,661.73","72.99M","1.18%"
"Aug 28, 2019","11,701.02","11,704.67","11,717.79","11,573.64","59.96M","-0.25%"
"Aug 27, 2019","11,730.02","11,638.51","11,778.62","11,616.09","82.36M","0.62%"
"Aug 26, 2019","11,658.04","11,619.66","11,696.78","11,551.99","54.75M","0.40%"
"Aug 23, 2019","11,611.51","11,805.48","11,823.12","11,611.51","90.30M","-1.15%"
"Aug 22, 2019","11,747.04","11,756.21","11,853.14","11,715.26","74.45M","-0.47%"
"Aug 21, 2019","11,802.85","11,673.66","11,824.66","11,673.37","62.80M","1.30%"
"Aug 20, 2019","11,651.18","11,711.78","11,764.93","11,618.93","68.83M","-0.55%"
"Aug 19, 2019","11,715.37","11,679.72","11,759.00","11,625.67","78.46M","1.32%"
"Aug 16, 2019","11,562.74","11,460.65","11,578.84","11,447.34","114.06M","1.31%"
"Aug 15, 2019","11,412.67","11,522.46","11,530.01","11,266.48","116.68M","-0.70%"
"Aug 14, 2019","11,492.66","11,758.75","11,759.57","11,459.37","106.03M","-2.19%"
"Aug 13, 2019","11,750.13","11,632.85","11,835.88","11,539.63","116.61M","0.60%"
"Aug 12, 2019","11,679.68","11,801.06","11,836.97","11,647.01","76.12M","-0.12%"
"Aug 09, 2019","11,693.80","11,806.82","11,865.63","11,674.11","110.49M","-1.28%"
"Aug 08, 2019","11,845.41","11,752.96","11,845.41","11,683.99","104.28M","1.68%"
"Aug 07, 2019","11,650.15","11,636.34","11,747.74","11,559.76","112.20M","0.71%"
"Aug 06, 2019","11,567.96","11,690.27","11,748.83","11,567.96","88.89M","-0.78%"
"Aug 05, 2019","11,658.51","11,758.44","11,797.52","11,628.57","117.30M","-1.80%"
"Aug 02, 2019","11,872.44","12,033.68","12,034.91","11,836.75","142.97M","-3.11%"
"Aug 01, 2019","12,253.15","12,134.71","12,254.03","12,129.33","90.47M","0.53%"
"Jul 31, 2019","12,189.04","12,149.09","12,226.49","12,139.03","94.02M","0.34%"
"Jul 30, 2019","12,147.24","12,398.24","12,404.51","12,115.28","118.26M","-2.18%"
"Jul 29, 2019","12,417.47","12,398.29","12,473.97","12,387.58","66.30M","-0.02%"
"Jul 26, 2019","12,419.90","12,363.86","12,428.05","12,356.15","73.31M","0.47%"
"Jul 25, 2019","12,362.10","12,576.02","12,599.93","12,299.10","119.52M","-1.28%"
"Jul 24, 2019","12,522.89","12,510.52","12,550.34","12,476.55","96.09M","0.26%"
